"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"File","Rename","F2","In Windows"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","Debug Groovy Script","Alt+Shift+D, G","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"File","New","Ctrl+N","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"SpringSource Grails Tools","Create Controller","Alt+G, Alt+C","In Windows"
"Text Editing","Copy Lines","Ctrl+Shift+D","Editing Text"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"SpringSource Grails Tools","Create Taglib","Alt+G, Alt+T","In Windows"
"Groovy Refactoring Commands","Convert to closure","Alt+G, F","Editing Groovy Source"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Window","Activate Editor","F12","In Windows"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"View","Zoom In","Ctrl+=","In Windows"
"SpringSource Grails Tools","Refresh Dependencies","Alt+G, R","In Windows"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","Step Return","F7","Debugging"
"Groovy Refactoring Commands","Convert to Groovy","Alt+J, G","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"SpringSource Grails Tools","Go to TagLib Class","Alt+G, T","Editing Groovy Source"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"SpringSource Grails Tools","Go to GSP","Alt+G, G","Editing Groovy Source"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Navigate","Backward History","Alt+Left","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Window","Next View","Ctrl+F7","In Windows"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"File","Save","Ctrl+S","In Windows"
"SpringSource Grails Tools","Create Service","Alt+G, Alt+S","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Text Editing","Delete Line","Alt+D","Editing Text"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"File","Refresh","F5","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Text Editing","Line End","End","Editing Text"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Run/Debug","Debug AspectJ/Java Application","Alt+Shift+D, C","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Join Lines","Ctrl+J","Editing Text"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","&Quick Cross References","Alt+Shift+P","Editing Java Source"
"SpringSource Grails Tools","Create Filters","Alt+G, Alt+I","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Edit","Incremental Find Reverse","Ctrl+Alt+Shift+I","Editing Text"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"SpringSource Grails Tools","Go to Domain Class","Alt+G, D","Editing Groovy Source"
"SpringSource Grails Tools","Go to Service Class","Alt+G, S","Editing Groovy Source"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"SpringSource Grails Tools","Go to Controller Class","Alt+G, C","Editing Groovy Source"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Project","Build All","Ctrl+B","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Groovy Refactoring Commands","Convert to Java","Alt+G, J","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Edit","Delete","Delete","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"SpringSource Grails Tools","Create Domain Class","Alt+G, Alt+D","In Windows"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"SpringSource Grails Tools","Open Grails Plugin Manager","Alt+G, M","In Windows"
"Edit","Toggle Comment","Ctrl+/","Editing in Structured Text Editors"
"File","Save All","Ctrl+Shift+S","In Windows"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"File","Close All","Ctrl+Shift+W","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"File","Close","Ctrl+F4","In Windows"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Groovy Refactoring Commands","Convert to method","Alt+G, M","Editing Groovy Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Navigate","Open Declaration","F3","JavaScript View"
"Navigate","Open Declaration","F3","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Window","Show System Menu","Alt+-","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"SpringSource Grails Tools","Grails Command Wizard","Alt+G, W","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Groovy Refactoring Commands","Rename - Refactoring","Alt+Shift+R","Editing Groovy Source"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"File","Close","Ctrl+W","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Navigate","Go to Line","Ctrl+G","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Git","Commit...","Ctrl+#","In Windows"
"Run/Debug","Run AspectJ/Java Application","Alt+Shift+X, C","In Windows"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Edit","Find Next","Ctrl+K","Editing Text"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Edit","Incremental Find","Ctrl+Shift+I","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"SpringSource Grails Tools","Open Grails Command Prompt","Ctrl+Alt+Shift+G","In Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Previous","Ctrl+,","In Windows"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"File","Print","Ctrl+P","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Groovy Source Commands","Find occurrences in current file","Ctrl+Shift+U","Editing Groovy Source"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
